"non_conformity_score","absolute_residual"
0.85038334874763,0.118560343037459
0.283103555046441,0.067836669377435
0.0935341006790632,0.013797974052421
1.50101643794959,0.325191391621125
1.63650337920338,0.201090762102961
1.97681378281268,0.363073246790361
0.187409408532201,0.0458527944891971
2.38769596325296,0.26824207242758
1.0649069106813,0.218153185653608
0.162123197840585,0.0406276965253394
0.705657301034669,0.0907409449023633
1.77676272727055,0.28558148073918
0.296530591693569,0.0598807641440651
0.500590301560962,0.0805054237015632
4.8911985300442,0.715459160176687
