"non_conformity_score","absolute_residual"
0.801323439030237,0.118560343037459
0.293456672518598,0.067836669377435
0.100835768644832,0.013797974052421
1.5342133856944,0.325191391621125
1.74047493611804,0.201090762102961
1.90653475337651,0.363073246790361
0.195055879917939,0.0458527944891971
2.41616863972855,0.26824207242758
1.13249464805637,0.218153185653608
0.161283251858453,0.0406276965253394
0.923716320552361,0.0907409449023633
1.80166756746993,0.28558148073918
0.312418408906622,0.0598807641440651
0.507873722467914,0.0805054237015632
5.1870239218074,0.715459160176687
