"run_iteration","empirical_coverage"
1,0.733333333333333
2,0.966666666666667
3,0.7
4,0.933333333333333
5,0.933333333333333
6,1
7,0.9
8,1
9,0.9
10,0.933333333333333
11,1
12,0.833333333333333
13,1
14,0.933333333333333
15,0.966666666666667
16,0.766666666666667
17,1
18,0.966666666666667
19,0.9
20,0.833333333333333
21,0.933333333333333
22,1
23,1
24,0.9
25,0.933333333333333
26,0.866666666666667
27,0.933333333333333
28,0.8
29,0.866666666666667
30,1
31,1
32,0.866666666666667
33,0.9
34,0.933333333333333
35,0.7
36,0.833333333333333
37,0.9
38,1
39,1
40,1
41,0.966666666666667
42,0.833333333333333
43,0.966666666666667
44,0.966666666666667
45,1
46,0.966666666666667
47,0.933333333333333
48,1
49,0.966666666666667
50,0.966666666666667
51,0.733333333333333
52,0.966666666666667
53,1
54,0.8
55,0.966666666666667
56,0.933333333333333
57,0.966666666666667
58,0.866666666666667
59,0.833333333333333
60,0.9
61,0.866666666666667
62,1
63,0.833333333333333
64,0.966666666666667
65,1
66,1
67,1
68,0.8
69,1
70,0.966666666666667
71,0.966666666666667
72,1
73,0.766666666666667
74,1
75,0.933333333333333
76,0.933333333333333
77,1
78,0.933333333333333
79,0.966666666666667
80,0.966666666666667
81,0.8
82,1
83,0.966666666666667
84,1
85,1
86,0.933333333333333
87,1
88,0.966666666666667
89,1
90,0.9
91,1
92,1
93,0.866666666666667
94,0.766666666666667
95,1
96,1
97,1
98,0.933333333333333
99,1
100,0.9
