"run","coverage","avg_width"
1,0.739130434782609,0.916848952233372
2,0.91304347826087,1.3281939268461
3,1,1.61678974339164
4,0.782608695652174,0.836311118048798
5,0.956521739130435,1.40029330218627
6,0.91304347826087,1.50954549306952
7,0.956521739130435,1.21418152111409
8,1,1.71886787584468
9,0.956521739130435,1.30482038783989
10,0.91304347826087,1.03286174373131
11,0.91304347826087,1.32394545094118
12,0.869565217391304,0.971207334136738
13,0.869565217391304,1.26781291817267
14,0.91304347826087,1.20418231895288
15,0.91304347826087,1.21991631346867
16,0.956521739130435,1.19095787348913
17,0.91304347826087,1.06165474876745
18,0.956521739130435,1.24900653873859
19,0.869565217391304,1.17138472045912
20,1,1.81935841180583
21,0.91304347826087,1.2045064421212
22,0.826086956521739,1.0358229684378
23,1,1.42535304238462
24,0.91304347826087,1.0537761323123
25,1,1.95860770124425
26,0.91304347826087,0.94932972586091
27,0.869565217391304,1.15068555050068
28,0.782608695652174,0.822331715217594
29,1,1.50874567481049
30,0.956521739130435,0.96629535365017
31,0.91304347826087,0.9872202458093
32,0.826086956521739,0.933378865834526
33,0.956521739130435,1.32896727201045
34,0.782608695652174,0.911646544875976
35,0.91304347826087,1.37350385286011
36,0.91304347826087,1.19038557239792
37,0.826086956521739,0.949408565291689
38,0.956521739130435,1.08378080963171
39,0.956521739130435,1.28091220914063
40,0.91304347826087,1.07083381527697
41,0.826086956521739,0.884096038940936
42,0.956521739130435,1.51668641957144
43,0.869565217391304,0.993472044614947
44,0.956521739130435,1.29766808700227
45,0.91304347826087,0.986959434915682
46,0.956521739130435,1.283819910437
47,0.956521739130435,1.6032785149633
48,0.826086956521739,1.06876794996956
49,0.91304347826087,0.981902551501607
50,0.826086956521739,1.28503255692431
51,1,1.38110516368564
52,0.782608695652174,0.933590406174848
53,0.956521739130435,1.27468450831871
54,1,1.77141158612792
55,0.956521739130435,1.14032816966686
56,0.869565217391304,1.20121317731869
57,0.956521739130435,1.07094227297211
58,1,1.27627795837397
59,1,1.3150196616837
60,0.91304347826087,1.26012185796949
61,0.956521739130435,1.60009226523699
62,0.91304347826087,0.998348344891202
63,0.91304347826087,0.951304645995372
64,1,1.18382445266707
65,0.869565217391304,1.01885238505579
66,0.869565217391304,1.01306031663292
67,0.956521739130435,1.2571550474309
68,0.695652173913043,0.745061063787114
69,1,2.09213555109733
70,1,1.47505690554307
71,1,1.76609946092577
72,1,1.305857127307
73,1,1.3287858392785
74,1,1.58827626195818
75,0.652173913043478,0.923763882590931
76,0.956521739130435,1.34234395445777
77,0.739130434782609,0.992082319854061
78,0.956521739130435,1.48438005908039
79,0.826086956521739,0.873366665868152
80,0.91304347826087,0.784062040769481
81,0.782608695652174,0.864352415753145
82,0.956521739130435,1.3460708754892
83,1,1.548607620015
84,0.956521739130435,1.20273326584386
85,0.91304347826087,1.36142154726066
86,1,1.20398427325082
87,0.956521739130435,1.34505307447902
88,0.956521739130435,1.33139861372463
89,0.956521739130435,1.17698975550686
90,0.956521739130435,1.49714604458922
91,0.869565217391304,1.02228059490784
92,1,1.31514348351877
93,0.956521739130435,1.26014457606441
94,0.956521739130435,0.919959588528891
95,0.956521739130435,1.19181225862369
96,1,1.52068853404872
97,0.739130434782609,0.858436855234216
98,0.956521739130435,1.1613925072411
99,1,1.43991670556134
100,0.826086956521739,1.00327938850836
