"non_conformity_score","absolute_residual"
-0.0834983498349837,0.507830385237747
-0.466882276843467,0.0304408747795861
-0.449482535575679,0.0457207784167803
-0.349793729372937,0.136357986542509
-0.325937904269081,0.162464216182291
0.186427392739274,0.699067512669767
-0.391295379537953,0.142062530153404
-0.358796895213453,0.119425809819016
0.00886157826649381,0.528255046558989
-0.432600258732212,0.0443640620530354
-0.44385313531353,0.0275236263923939
-0.475873221216041,0.0744189999530351
-0.496575907590758,0.0150690966574025
-0.403363518758085,0.0763916729641914
-0.533441138421733,0.0782464274888035
